osm_id,is_sidepath_estimation
10749251,true
23914659,true
23172801,true
4609192,false
23698703,true
23490383,true
23426547,true
23321215,false
11663511,true
19794071,false
23319085,true
23176052,true
24409732,true
23198191,true
24843014,true
4805424,true
24747971,true
16850152,true
22762083,false
4954623,true
5057181,true
10275778,true
24354717,true
23498071,true
19510378,true
24359321,true
23540892,true
23945755,true
23698702,true
8058915,true
24798751,true
23218856,true
23725498,false
23291282,true
23635780,true
23080216,true
24653429,true
19604563,true
24422371,true
24872680,true
10266722,true
24731977,true
22963453,false
22911617,false
24427910,true
24386785,true
5082992,true
8609682,false
24427957,true
23945254,true
23801060,true
8115564,true
24802597,true
5444189,true
7004973,true
24446729,true
12519325,true
4621143,false
10425830,true
24877816,true
5120663,true
24774870,false
13460410,true
4763971,true
24767114,true
23129815,true
13375426,true
4787385,true
16343846,true
10552201,true
22720260,true
5383066,true
5060059,true
24557190,false
24286640,true
22876920,true
23725160,true
23439335,true
22821123,true
24304174,true
19406404,true
5060599,true
23116753,true
8771722,true
23498070,true
22911919,true
24358713,true
24865294,true
24540589,true
23557841,true
4808149,true
24660357,true
13855434,true
4959206,true
22967584,true
23083599,true
24213666,false
23053401,true
24038747,true
4744608,true
24355480,true
24674120,true
24047278,true
24148226,true
13793132,true
24661226,true
24038697,true
23198622,true
24394341,true
22772813,true
8067819,true
16238234,true
24878067,true
24378881,true
24375945,true
19604189,true
24736343,true
24405918,true
23240591,true
22792477,true
4960754,false
23005938,true
23621331,true
22962085,true
5012149,true
23064427,true
23154842,true
12519589,true
24051115,false
23438342,true
19514461,true
23699531,true
23125164,true
10258716,true
24733742,true
24422142,true
24152053,true
8090869,true
22894822,true
24466505,true
24305951,true
23240584,true
23240590,true
22820970,true
4575445,true
23651174,true
23548586,true
23786088,true
8772034,false
5057604,true
6062652,true
22689136,true
9712244,true
7974450,true
23814674,false
12861958,true
19367780,true
10258842,true
15244995,true
24376458,true
22632279,true
13855030,true
23193209,true
23200655,true
4808170,true
4773025,true
4623739,true
22040431,true
24306905,true
7608134,true
23230852,true
23217089,true
4621157,true
24395893,true
8048927,true
24177440,true
24335053,true
15388193,true
6197367,true
23407047,false
22720261,false
19405255,true
16704535,true
22565774,true
8609694,true
12519895,true
24865702,true
23937846,true
22112279,true
7956410,false
24847358,true
24050029,true
23225332,true
24260456,true
19367764,true
9203423,true
7625069,true
24359442,true
16308087,false
23278559,true
24341071,true
4395594,true
24863830,false
23068011,true
22699212,true
23080521,true
24034000,true
5653462,false
23490701,false
23033705,true
22723666,true
10656237,true
24556026,true
7570006,true
24876756,true
23966722,true
8771608,true
24389057,true
24422878,true
24375886,true
24861882,true
19796388,true
23756274,true
9064350,true
4792440,true
5013178,true
24777333,true
11771665,true
23086063,true
13991037,true
23985120,true
5004522,true
22966609,true
4522176,true
23841256,true
24164589,true
23897552,true
22767326,false
15388202,true
9896970,true
24318557,true
23705545,true
22701046,true
10274176,true
24444584,true
23699532,false
23009069,true
4612967,true
4622040,true
22102301,true
24287382,true
23077999,false
4403668,true
24469213,true
24354890,true
23086058,true
24667893,true
23222692,true
18275335,true
20851669,false
24660831,true
4777828,true
22977581,true
23994819,true
22746140,true
24056637,true
15221257,true
4531492,true
23547068,false
19636914,true
15465842,true
24667903,true
23387217,true
24431749,true
24038392,true
9820555,true
23851945,true
24597456,false
24286412,true
14097373,true
8045352,true
23175821,true
24355025,false
23547945,false
23092692,false
23704734,true
22530907,true
8771149,false
24434311,true
8772359,true
24404908,true
8074059,true
23438358,true
24661431,true
24013035,true
10656245,true
24387016,true
24028903,true
24513260,true
24014655,true
24017889,true
23924886,true
24293693,true
24619178,false
24293819,true
24566365,true
23874495,true
24387102,true
23387395,true
24151948,true
23389980,true
4808163,true
24663820,true
4420987,true
23037174,true
7830702,true
14428545,true
24386738,true
17506521,false
24854089,true
24320383,true
22745547,true
4792302,false
24422330,true
8771026,false
8772668,true
24067149,true
24066144,true
4971032,true
24422923,true
23172816,true
24597203,true
10575502,true
24667888,true
23086060,true
15244989,false
22983098,false
24482293,true
24377882,true
24306901,true
24791996,true
13629809,true
23235427,true
22792474,false
24667787,true
6001069,true
24205376,true
5010404,true
24694604,true
4707779,true
4521216,true
4577552,true
23966705,true
9701900,false
14369556,true
24856886,true
22976994,true
4972494,true
14117135,true
4707778,true
4955339,true
24667474,true
23725162,true
24865708,false
24324655,false
24212612,true
15244994,false
23103627,true
24663577,true
8771533,true
24379675,true
24341059,true
8158560,false
24213749,true
24492729,false
23964733,true
13218778,true
23635769,true
23186000,true
24034002,false
23905032,false
23739135,true
10856349,true
24667807,true
24465891,true
23943941,true
19367781,true
16623691,true
10307438,true
10261925,false
16756595,true
6191320,true
23090636,true
23105736,true
4920363,true
4622082,false
15200223,true
23050612,true
24540928,true
5117275,true
5086363,true
24047274,true
23080219,true
19501236,true
24802763,true
4703552,false
23282829,true
22973102,true
19800050,true
24324630,true
8771995,true
4740782,true
4751949,true
13056999,true
24029783,false
24653427,true
23851908,false
24451698,true
9785125,true
23029653,true
19064224,true
24433187,true
24799715,true
23175962,true
23895520,true
10709835,false
13840578,false
4610599,false
24380288,true
23251015,true
22277345,true
9713554,false
24378941,false
24428123,true
23485181,true
4611730,true
23994725,true
23698711,true
19508629,true
24285685,true
8771769,true
24856889,true
24872676,true
24424721,true
8771311,true
23548828,true
5993659,true
22113225,false
14000028,true
9823758,true
4924948,true
22375632,true
23230847,true
23046064,true
17503768,true
23541054,true
9779443,true
23030038,true
18630594,true
23105560,true
16765824,false
23547396,false
23210345,true
23101750,true
15454181,true
14438299,true
23080494,true
24433148,true
24065988,false
24738668,true
13706677,true
8793638,true
16874290,false
8090392,false
24327017,true
7974686,true
23381225,true
12240277,true
24220081,true
11645361,false
22947176,true
9822264,true
24235746,true
8772248,true
11344525,true
21724347,true
24540446,true
24674239,true
4949577,true
24667885,true
18677727,true
8049955,true
24643205,true
14846866,true
23312875,true
24386696,true
22957849,true
10423565,true
24378772,true
22792473,true
10360372,true
23840979,true
4966997,true
24378709,true
16579663,false
22966961,true
12495652,true
24466960,true
13874608,true
23438343,false
24397731,true
18968964,true
23557840,true
10656236,true
14438389,true
24778584,false
23125181,true
23080524,true
17506520,true
23482885,true
24341596,true
24599540,true
5057266,true
24341069,true
22984589,true
24163622,true
24065985,true
5192003,true
22803808,true
24324658,true
24434361,true
10312681,true
23087665,true
22976377,true
19405979,true
23001636,true
15221250,true
23965299,true
4955271,false
23065775,true
24289157,true
24314363,true
21767311,true
14167437,true
4794993,true
23549432,true
23433922,true
8049956,true
22808388,true
13705900,false
16275163,true
23993758,true
23089773,false
18060807,true
24349588,true
23490529,true
16852059,true
9028397,true
24286718,true
24202803,true
24692374,false
16311802,true
24029326,true
8771047,true
24144961,true
23424438,true
8115590,true
9896845,true
8771636,false
12082669,true
23154754,true
24854109,true
23402590,true
24028078,true
19796646,false
24608225,false
14097368,true
23004603,true
24287766,false
23429727,true
24376101,true
23463725,true
5733136,true
4808124,true
22976861,true
21642466,true
23176519,true
14097377,true
19367784,true
23651736,true
24553927,true
8090394,false
24876727,true
24557987,true
22967590,true
22112277,true
23009047,true
22791262,true
4859840,true
8771591,true
16110932,false
24555075,true
22980852,false
13440532,true
11645798,true
23814669,true
23854459,true
9473137,true
24250377,true
24066143,true
24354074,true
20879869,true
24042746,true
24466178,true
14097374,true
23054525,true
23387216,true
13527158,true
19804129,true
9816817,true
23210354,true
4603412,true
23754272,true
24326994,true
4808208,true
24032402,false
23651738,true
23712096,true
16867961,true
8049960,true
11959400,true
23078671,true
22113217,true
24825371,false
24288308,true
19367762,true
4802100,true
24305953,true
16713397,true
23053262,true
7366446,true
4549396,true
22976761,true
24865291,true
24064633,true
23722336,true
22967263,true
24149436,true
16579607,false
23046070,true
24865641,false
24375742,true
23210353,true
15224001,true
24678006,true
24720358,true
4577292,true
24366043,true
24419817,true
23387223,true
24145272,false
8771301,true
19367788,true
13052582,true
23433930,true
23541075,true
23080221,true
9392704,true
24387298,true
23008245,true
23801059,true
5210960,true
24814049,false
23033704,true
4678636,true
24148041,false
17677517,true
8115576,true
22634392,true
24206042,true
23992091,true
24462326,true
23369879,false
4808126,false
14839971,true
10353855,true
8771487,true
24613438,true
23017258,false
24668413,true
24360433,true
15244993,true
24380522,true
24695358,true
14820181,true
24522970,false
24732553,true
13840575,true
22967080,true
24032029,true
24210090,true
18799426,false
4864928,true
4808299,true
24496635,true
23759965,true
24750523,true
18080056,true
24032438,true
24876008,true
12863385,false
23087805,true
22967202,true
5021519,true
14663604,false
10307232,true
4788757,true
23150892,true
19392505,true
24378671,true
10611042,false
22375338,false
22948212,true
4679484,false
24751627,true
8771174,false
4581827,true
24488342,true
6197918,false
24802601,true
4604256,true
24544396,true
22947075,true
23122940,true
23004599,true
21780020,true
13500440,true
24557336,true
24556023,false
19508609,true
23439334,true
19514469,true
4475904,true
4808158,true
24613208,true
13793003,true
6005788,true
24152013,true
24165706,true
24750530,true
13218400,true
5891452,true
16850150,true
22112282,true
22954318,true
23087713,true
23755687,true
16765821,true
4954308,false
23424635,true
23651185,true
24767900,true
7940461,true
13700410,true
24192063,false
22689569,true
23699538,true
4711697,true
22976698,true
5210943,false
23964738,true
23699148,true
23030018,true
24619180,false
24597350,false
24240306,false
23186383,true
9587014,true
4678298,true
24014652,true
4791915,false
23266693,true
15221251,true
22948118,true
19049204,true
17677514,true
4959472,true
4808305,true
23987661,false
14146383,true
24202915,true
22910104,true
23247176,true
4808285,true
21781157,false
24369273,true
20006946,true
23754270,true
22948340,false
24220032,true
6620303,true
23547067,true
23389047,true
24145410,true
24865284,true
23952483,true
24324631,true
8609758,true
8607419,true
24433364,true
24162193,true
15365332,true
24401827,true
13440533,true
24877055,true
23089765,true
23323738,false
23191260,true
5938558,true
